h,RelativeError,AbsoluteError
1.0E-7,1.820885287492449E-8,1.3780505292437795E-8
1.0E-6,3.641733457159384E-7,2.75607296762459E-7
1.0E-5,3.6417414565187524E-6,2.756079021559721E-6
1.0E-4,3.6418164390739644E-5,2.7561357685446097E-5
0.001,3.6425664388093493E-4,2.7567033702158295E-4
0.01,0.0036500664526582026,0.0027623793994114854
0.1,0.037250803309656494,0.028191500896972865
0.25,0.09625709440252045,0.07284760923491829
0.5,0.20300731411030873,0.15363644188444203
1.0,0.44892944968736065,0.33975092774060955
